Vdd	V1	V2	V3	V4
1.760318 	 0.006863 	 0.474117 	 0.698897 	 0.890997 
1.253172 	 0.157272 	 0.524138 	 0.879478 	 0.199163 
1.610857 	 0.467745 	 0.142688 	 0.587099 	 0.283156 
3.026954 	 0.818327 	 1.247209 	 0.391501 	 1.975604 
0.127484 	 0.418980 	 0.803399 	 0.758553 	 0.405890 
2.610177 	 0.978176 	 1.135147 	 0.035014 	 1.451031 
4.540182 	 0.292695 	 1.335587 	 0.965694 	 1.730305 
4.932687 	 0.634877 	 0.554756 	 0.836532 	 0.842276 
0.489033 	 0.924692 	 1.310864 	 0.803888 	 1.154612 
2.352127 	 0.532247 	 1.388952 	 0.365325 	 1.019036 
1.945465 	 0.067415 	 0.235460 	 0.186740 	 1.486156 
4.345348 	 0.787688 	 1.966961 	 0.812985 	 0.024455 
0.971916 	 0.285933 	 1.741811 	 0.495521 	 1.172869 
2.544522 	 0.822699 	 1.542669 	 0.212272 	 1.240964 
2.115908 	 0.311029 	 0.455093 	 0.445414 	 0.594009 
1.365636 	 0.771988 	 1.995066 	 0.253665 	 1.793208 
4.258562 	 0.494554 	 0.693905 	 0.471052 	 0.189826 
2.997588 	 0.234534 	 1.895720 	 0.627280 	 0.207354 
0.575207 	 0.394134 	 0.163902 	 0.539993 	 0.820581 
2.168992 	 0.252456 	 0.916931 	 0.133988 	 1.725901 
1.602124 	 0.589458 	 1.528171 	 0.475245 	 0.971707 
3.510934 	 0.940529 	 1.456808 	 0.272417 	 1.708478 
0.459584 	 0.512264 	 0.268105 	 0.715052 	 0.140788 
3.693004 	 0.205217 	 0.321712 	 0.701205 	 1.495117 
0.713411 	 0.958305 	 0.932724 	 0.510902 	 0.098554 
2.411757 	 0.888134 	 0.889945 	 0.346217 	 1.467173 
1.670627 	 0.046710 	 0.378523 	 0.926803 	 1.356007 
0.975473 	 0.745348 	 0.772751 	 0.097663 	 1.927049 
4.200130 	 0.924786 	 0.591697 	 0.055686 	 0.950191 
1.494363 	 0.708384 	 0.475917 	 0.169588 	 0.165606 
2.514269 	 0.451981 	 0.833025 	 0.287731 	 1.318326 
4.477570 	 0.056742 	 0.688697 	 0.816127 	 0.718745 
4.009993 	 0.863971 	 1.627863 	 0.835340 	 0.417069 
3.226393 	 0.823066 	 1.474766 	 0.040445 	 1.435536 
0.635469 	 0.324447 	 0.703386 	 0.163019 	 1.551424 
4.306011 	 0.412045 	 1.644460 	 0.267720 	 1.606397 
2.550285 	 0.988584 	 1.927214 	 0.763774 	 1.803246 
0.058109 	 0.765652 	 1.541692 	 0.574524 	 1.061908 
3.892945 	 0.642023 	 1.872784 	 0.005532 	 1.642983 
0.009558 	 0.201506 	 0.408382 	 0.249680 	 0.494224 
3.541599 	 0.484417 	 0.813248 	 0.441685 	 0.634277 
1.329970 	 0.195752 	 0.994316 	 0.614514 	 1.703145 
1.052197 	 0.640252 	 0.303731 	 0.475886 	 0.079028 
2.080297 	 0.846835 	 0.543943 	 0.810891 	 0.108743 
1.732224 	 0.631443 	 0.912835 	 0.397676 	 0.426430 
4.299493 	 0.242584 	 0.449811 	 0.792410 	 1.984225 
3.631512 	 0.190531 	 1.595121 	 0.481109 	 1.032321 
4.769266 	 0.901238 	 0.424642 	 0.861133 	 1.268326 
4.061739 	 0.579728 	 1.516524 	 0.501622 	 0.451965 
0.515540 	 0.487017 	 1.559905 	 0.465213 	 0.234497 
0.865855 	 0.931921 	 0.422964 	 0.727670 	 0.181472 
3.424675 	 0.818554 	 1.559153 	 0.896989 	 1.717041 
3.845396 	 0.448479 	 0.324064 	 0.479621 	 0.034064 
2.993376 	 0.751499 	 0.769815 	 0.727988 	 0.410349 
1.749687 	 0.497372 	 1.139877 	 0.344767 	 0.045834 
1.957615 	 0.398110 	 0.334228 	 0.344551 	 0.563202 
4.545360 	 0.146056 	 1.946073 	 0.072477 	 1.915064 
3.810338 	 0.052503 	 1.032393 	 0.151109 	 0.993669 
0.291940 	 0.027476 	 0.742414 	 0.840328 	 1.962460 
4.797487 	 0.010401 	 1.054975 	 0.566399 	 0.615478 
2.110793 	 0.834989 	 1.028003 	 0.062604 	 0.983342 
3.752200 	 0.738650 	 1.053021 	 0.368368 	 0.069933 
0.908943 	 0.452286 	 0.845092 	 0.571584 	 1.288915 
2.206159 	 0.508119 	 1.652142 	 0.762940 	 1.540866 
3.426921 	 0.381443 	 1.755925 	 0.421924 	 1.038012 
4.114692 	 0.480841 	 0.657619 	 0.597174 	 1.228824 
4.977650 	 0.535977 	 0.634131 	 0.908206 	 1.972041 
2.764733 	 0.801373 	 0.778567 	 0.465722 	 0.197379 
3.191857 	 0.370849 	 0.202701 	 0.539794 	 1.150824 
3.013254 	 0.512523 	 1.040125 	 0.149504 	 0.350920 
4.244972 	 0.157658 	 0.844674 	 0.576195 	 0.933833 
3.153216 	 0.023234 	 1.075505 	 0.936318 	 0.064764 
4.697580 	 0.310930 	 0.691031 	 0.027820 	 1.258124 
3.048528 	 0.713091 	 0.804875 	 0.301775 	 1.061547 
2.777127 	 0.371068 	 1.891366 	 0.937747 	 1.830716 
3.325384 	 0.225099 	 1.689009 	 0.194159 	 1.500462 
4.174227 	 0.259468 	 1.010108 	 0.908034 	 0.149829 
2.833055 	 0.820380 	 0.649550 	 0.250139 	 0.963686 
2.553097 	 0.320237 	 1.941990 	 0.764295 	 1.029871 
2.376454 	 0.067954 	 1.629230 	 0.745081 	 0.914737 
2.664492 	 0.640207 	 0.916382 	 0.969751 	 1.320367 
3.366957 	 0.365348 	 1.132611 	 0.734689 	 1.458573 
3.998715 	 0.695360 	 0.946410 	 0.977186 	 0.653847 
0.057235 	 0.883143 	 1.759488 	 0.071878 	 1.173128 
3.751697 	 0.914800 	 1.740687 	 0.207274 	 0.545307 
0.227076 	 0.804615 	 0.486040 	 0.529007 	 0.858504 
0.676882 	 0.775469 	 0.849703 	 0.983687 	 1.526680 
4.531924 	 0.125529 	 1.773058 	 0.966535 	 0.077310 
1.169514 	 0.374826 	 0.538344 	 0.810159 	 1.253547 
1.386803 	 0.103073 	 1.156760 	 0.686304 	 1.352805 
1.877100 	 0.711284 	 1.895662 	 0.666447 	 1.950171 
1.985201 	 0.381247 	 1.393335 	 0.203125 	 0.477859 
3.253365 	 0.806687 	 0.077670 	 0.713302 	 1.170273 
0.684667 	 0.997091 	 1.694730 	 0.095992 	 0.062207 
2.477932 	 0.096428 	 1.575779 	 0.463489 	 0.468286 
1.871307 	 0.757135 	 0.143142 	 0.236946 	 0.530299 
2.344516 	 0.849672 	 0.221201 	 0.291988 	 0.812069 
4.037023 	 0.794642 	 1.659428 	 0.445743 	 0.426658 
2.353784 	 0.432058 	 0.585482 	 0.124523 	 0.990825 
1.872819 	 0.332965 	 1.714809 	 0.892503 	 0.294230 
